"rule_number","ossec_group"
"18210","windows"
"18210","group_changed"
"18210","win_group_changed"
"18211","windows"
"18211","group_changed"
"18211","win_group_changed"
"18212","windows"
"18212","group_created"
"18212","win_group_created"
"18213","windows"
"18213","group_changed"
"18213","win_group_changed"
"18214","windows"
"18214","group_changed"
"18214","win_group_changed"
"18215","windows"
"18215","group_changed"
"18215","win_group_changed"
"18216","windows"
"18216","group_deleted"
"18216","win_group_deleted"
"18217","windows"
"18217","group_changed"
"18217","win_group_changed"
"18218","windows"
"18218","group_changed"
"18218","win_group_changed"
"18219","windows"
"18219","group_changed"
"18219","win_group_changed"
"18220","windows"
"18220","group_changed"
"18220","win_group_changed"
"18221","windows"
"18221","group_changed"
"18221","win_group_changed"
"18222","windows"
"18222","group_changed"
"18222","win_group_changed"
"18223","windows"
"18223","group_changed"
"18223","win_group_changed"
"18224","windows"
"18225","windows"
"18225","group_changed"
"18225","win_group_changed"
"18226","windows"
"18226","group_changed"
"18226","win_group_changed"
"18227","windows"
"18227","group_changed"
"18227","win_group_changed"
"18228","windows"
"18228","group_changed"
"18228","win_group_changed"
"18229","windows"
"18229","group_changed"
"18229","win_group_changed"
"18230","windows"
"18230","group_changed"
"18230","win_group_changed"
"18231","windows"
"18231","group_changed"
"18231","win_group_changed"
"18232","windows"
"18232","group_changed"
"18232","win_group_changed"
"18233","windows"
"18233","group_changed"
"18233","win_group_changed"
"18234","windows"
"18234","group_changed"
"18234","win_group_changed"
"18235","windows"
"18235","group_changed"
"18235","win_group_changed"
"18236","windows"
"18236","group_changed"
"18236","win_group_changed"
"18237","windows"
"18237","group_changed"
"18237","win_group_changed"
"18238","windows"
"18238","group_changed"
"18238","win_group_changed"
"18239","windows"
"18239","group_changed"
"18239","win_group_changed"
"18240","windows"
"18240","group_changed"
"18240","win_group_changed"
"18241","windows"
"18241","group_changed"
"18241","win_group_changed"
"18242","windows"
"18242","group_changed"
"18242","win_group_changed"
"18243","windows"
"18243","group_changed"
"18243","win_group_changed"
"18244","windows"
"18244","group_changed"
"18244","win_group_changed"
"18245","windows"
"18245","group_changed"
"18245","win_group_changed"
"18246","windows"
"18246","group_changed"
"18246","win_group_changed"
"18247","windows"
"18247","group_changed"
"18247","win_group_changed"
"18248","windows"
"18248","group_changed"
"18248","win_group_changed"
"18249","windows"
"18249","group_changed"
"18249","win_group_changed"
"18250","windows"
"18250","group_changed"
"18250","win_group_changed"
"18251","windows"
"18251","group_changed"
"18251","win_group_changed"
"18252","windows"
"18252","group_changed"
"18252","win_group_changed"
"18253","windows"
"18253","group_changed"
"18253","win_group_changed"
"18254","windows"
"18254","group_changed"
"18254","win_group_changed"
"18255","windows"
"18255","group_changed"
"18255","win_group_changed"
"18256","windows"
"18256","group_changed"
"18256","win_group_changed"
"19100","vmware"
"19101","vmware"
"19102","vmware"
"19103","vmware"
"19104","vmware"
"19105","vmware"
"19106","vmware"
"19107","vmware"
"19110","vmware"
"19110","authentication_success"
"19111","vmware"
"19111","authentication_failed"
"19112","vmware"
"19112","authentication_success"
"19113","vmware"
"19113","authentication_failed"
"19120","vmware"
"19120","service_availability"
"19121","vmware"
"19122","vmware"
"19123","vmware"
"19123","config_changed"
"19150","vmware"
"19150","service_availability"
"19151","vmware"
"19151","service_availability"
"19152","vmware"
"19152","authentication_failures"
"19153","vmware"
"19153","authentication_failures"
"20100","ids"
"20100","fts"
"20101","ids"
"20102","ids"
"20103","ids"
"20151","ids"
"20152","ids"
"20161","ids"
"20162","ids"
"2100","syslog"
"2100","nfs"
"2101","syslog"
"2101","nfs"
"2102","syslog"
"2102","nfs"
"2103","syslog"
"2103","nfs"
"2104","syslog"
"2104","nfs"
"2301","syslog"
"2301","xinetd"
"2501","syslog"
"2501","access_control"
"2501","authentication_failed"
"2502","syslog"
"2502","access_control"
"2502","authentication_failed"
"2503","syslog"
"2503","access_control"
"2503","access_denied"
"2504","syslog"
"2504","access_control"
"2504","invalid_login"
"2505","syslog"
"2505","access_control"
"2506","syslog"
"2506","access_control"
"2550","syslog"
"2550","access_control"
"2551","syslog"
"2551","access_control"
"2551","connection_attempt"
"2701","syslog"
"2701","mail"
"2800","syslog"
"2800","smartd"
"2801","syslog"
"2801","smartd"
"2802","syslog"
"2802","smartd"
"2803","syslog"
"2803","smartd"
"2830","syslog"
"2830","cron"
"2831","syslog"
"2831","cron"
"2832","syslog"
"2832","cron"
"2833","syslog"
"2833","cron"
"2834","syslog"
"2834","cron"
"2900","syslog"
"2900","dpkg"
"2901","syslog"
"2901","dpkg"
"2902","syslog"
"2902","dpkg"
"2902","config_changed"
"2903","syslog"
"2903","dpkg"
"2903","config_changed"
"2930","syslog"
"2930","yum"
"2931","syslog"
"2931","yum"
"2932","syslog"
"2932","yum"
"2932","config_changed"
"2933","syslog"
"2933","yum"
"2933","config_changed"
"2934","syslog"
"2934","yum"
"2934","config_changed"
"30100","apache"
"30101","apache"
"30102","apache"
"30103","apache"
"30104","apache"
"30104","service_availability"
"30105","apache"
"30105","access_denied"
"30106","apache"
"30106","access_denied"
"30107","apache"
"30107","automatic_attack"
"30108","apache"
"30108","authentication_failed"
"30109","apache"
"30109","invalid_login"
"30110","apache"
"30110","authentication_failed"
"30112","apache"
"30112","unknown_resource"
"30115","apache"
"30115","invalid_request"
"30116","apache"
"30116","invalid_request"
"30117","apache"
"30117","invalid_request"
"30118","apache"
"30118","access_denied"
"30119","apache"
"30119","access_denied"
"30120","apache"
"30120","service_availability"
"30200","apache"
"30201","apache"
"30201","access_denied"
"30202","apache"
"30202","access_denied"
"3100","syslog"
"3100","sendmail"
"3101","syslog"
"3101","sendmail"
"3102","syslog"
"3102","sendmail"
"3102","spam"
"3103","syslog"
"3103","sendmail"
"3103","spam"
"3104","syslog"
"3104","sendmail"
"3104","spam"
"3105","syslog"
"3105","sendmail"
"3105","spam"
"3106","syslog"
"3106","sendmail"
"3106","spam"
"3107","syslog"
"3107","sendmail"
"3108","syslog"
"3108","sendmail"
"3108","spam"
"3109","syslog"
"3109","sendmail"
"3109","system_error"
"31100","web"
"31100","accesslog"
"31101","web"
"31101","accesslog"
"31102","web"
"31102","accesslog"
"31103","web"
"31103","accesslog"
"31103","attack"
"31103","sql_injection"
"31104","web"
"31104","accesslog"
"31104","attack"
"31105","web"
"31105","accesslog"
"31105","attack"
"31106","web"
"31106","accesslog"
"31106","attack"
"31107","web"
"31107","accesslog"
"31108","web"
"31108","accesslog"
"31115","web"
"31115","accesslog"
"31115","invalid_access"
"31120","web"
"31120","accesslog"
"31121","web"
"31121","accesslog"
"31122","web"
"31122","accesslog"
"31122","system_error"
"31123","web"
"31123","accesslog"
"31140","web"
"31140","accesslog"
"31151","web"
"31151","accesslog"
"31151","web_scan"
"31151","recon"
"31152","web"
"31152","accesslog"
"31152","attack"
"31152","sql_injection"
"31153","web"
"31153","accesslog"
"31153","attack"
"31154","web"
"31154","accesslog"
"31154","attack"
"31161","web"
"31161","accesslog"
"31161","web_scan"
"31161","recon"
"31162","web"
"31162","accesslog"
"31162","system_error"
"31163","web"
"31163","accesslog"
"31163","web_scan"
"31163","recon"
"31200","zeus"
"31201","zeus"
"31202","zeus"
"31203","zeus"
"31204","zeus"
"31205","zeus"
"31205","authentication_failed"
"31206","zeus"
"31251","zeus"
"31300","apache"
"31301","apache"
"31302","apache"
"31303","apache"
"31310","apache"
"31311","apache"
"31312","apache"
"31315","apache"
"31315","authentication_failed"
"31316","apache"
"31316","authentication_failures"
"31320","apache"
"31320","invalid_request"
"31401","apache"
"31402","apache"
"31403","apache"
"31404","apache"
"31405","apache"
"31406","apache"
"31410","apache"
"31411","apache"
"31411","attack"
"31412","apache"
"31420","apache"
"31421","apache"
"31430","apache"
"3151","syslog"
"3151","sendmail"
"3151","multiple_spam"
"3152","syslog"
"3152","sendmail"
"3152","multiple_spam"
"3153","syslog"
"3153","sendmail"
"3153","multiple_spam"
"3154","syslog"
"3154","sendmail"
"3154","multiple_spam"
"3155","syslog"
"3155","sendmail"
"3155","multiple_spam"
"3156","syslog"
"3156","sendmail"
"3156","multiple_spam"
"3158","syslog"
"3158","sendmail"
"3158","multiple_spam"
"3190","syslog"
"3190","sendmail"
"3190","smf-sav"
"3191","syslog"
"3191","sendmail"
"3191","smf-sav"
"3191","spam"
"3300","syslog"
"3300","postfix"
"3301","syslog"
"3301","postfix"
"3301","spam"
"3302","syslog"
"3302","postfix"
"3302","spam"
"3303","syslog"
"3303","postfix"
"3303","spam"
"3304","syslog"
"3304","postfix"
"3304","spam"
"3305","syslog"
"3305","postfix"
"3305","spam"
"3306","syslog"
"3306","postfix"
"3306","spam"
"3320","syslog"
"3320","postfix"
"3330","syslog"
"3330","postfix"
"3330","service_availability"
"3331","syslog"
"3331","postfix"
"3331","service_availability"
"3332","syslog"
"3332","postfix"
"3332","authentication_failed"
"3333","syslog"
"3333","postfix"
"3333","service_availability"
"3334","syslog"
"3334","postfix"
"3351","syslog"
"3351","postfix"
"3351","multiple_spam"
"3352","syslog"
"3352","postfix"
"3352","multiple_spam"
"3353","syslog"
"3353","postfix"
"3353","multiple_spam"
"3354","syslog"
"3354","postfix"
"3354","multiple_spam"
"3355","syslog"
"3355","postfix"
"3355","multiple_spam"
"3356","syslog"
"3356","postfix"
"3356","multiple_spam"
"3357","syslog"
"3357","postfix"
"3357","authentication_failures"
"3390","syslog"
"3390","postfix"
"3500","syslog"
"3500","spamd"
"35000","squid"
"35002","squid"
"35003","squid"
"35004","squid"
"35005","squid"
"35006","squid"
"35007","squid"
"35008","squid"
"35009","squid"
"3501","syslog"
"3501","spamd"
"35010","squid"
"3502","syslog"
"3502","spamd"
"35021","squid"
"35021","automatic_attack"
"35022","squid"
"35022","automatic_attack"
"35023","squid"
"35051","squid"
"35052","squid"
"35053","squid"
"35054","squid"
"35055","squid"
"35056","squid"
"35057","squid"
"35058","squid"
"35095","squid"
"3600","syslog"
"3600","imapd"
"3601","syslog"
"3601","imapd"
"3601","authentication_failed"
"3602","syslog"
"3602","imapd"
"3602","authentication_success"
"3603","syslog"
"3603","imapd"
"3651","syslog"
"3651","imapd"
"3651","authentication_failures"
"3700","syslog"
"3700","mailscanner"
"3701","syslog"
"3701","mailscanner"
"3702","syslog"
"3702","mailscanner"
"3702","spam"
"3751","syslog"
"3751","mailscanner"
"3751","multiple_spam"
"3800","ms"
"3800","exchange"
"3801","ms"
"3801","exchange"
"3801","spam"
"3802","ms"
"3802","exchange"
"3802","spam"
"3851","ms"
"3851","exchange"
"3851","multiple_spam"
"3852","ms"
"3852","exchange"
"3852","multiple_spam"
"3900","syslog"
"3900","courier"
"3901","syslog"
"3901","courier"
"3901","connection_attempt"
"3902","syslog"
"3902","courier"
"3902","authentication_failed"
"3903","syslog"
"3903","courier"
"3904","syslog"
"3904","courier"
"3904","authentication_success"
"3910","syslog"
"3910","courier"
"3910","authentication_failures"
"3911","syslog"
"3911","courier"
"3911","recon"
"40101","syslog"
"40101","attacks"
"40101","invalid_login"
"40102","syslog"
"40102","attacks"
"40102","exploit_attempt"
"40103","syslog"
"40103","attacks"
"40103","exploit_attempt"
"40104","syslog"
"40104","attacks"
"40104","exploit_attempt"
"40105","syslog"
"40105","attacks"
"40105","exploit_attempt"
"40106","syslog"
"40106","attacks"
"40106","exploit_attempt"
"40107","syslog"
"40107","attacks"
"40107","exploit_attempt"
"40109","syslog"
"40109","attacks"
